Name,Category,WaterNeeds,LightNeeds,Traits,SpringCare,SummerCare,FallCare,WinterCare,Advice
Maidenhair Fern,Fern,Consistently moist,Bright indirect,"high-humidity, delicate, shade-loving","Begin monthly fertilizing; Mist often; Add tray with water for humidity","Mist regularly; Trim dead fronds; Never let soil dry","Reduce watering slightly; Avoid direct light; Maintain humidity","Keep tray beneath pot filled; Keep away from windows and vents","Prefers pH 6.5 to 7 and high humidity. Use organic compost and keep soil consistently moist with a tray beneath the pot. This fern hates dry air and direct sunlight. Avoid touching the fronds. Bottom watering and misting work well."
Asparagus Fern,Fern,Consistently moist,Bright indirect,"bushy, resilient, prefers humidity","Begin pruning lightly; Increase misting; Feed monthly","Maintain moist soil; Can be moved outside in shade","Reduce feeding; Trim lightly; Keep out of wind","Keep soil moist; Bring indoors; Mist regularly","Prefers being rootbound. Use well-draining compost with pH around 6.5. High humidity improves leaf health. Avoid dry air. Prune when needed."
Boston Fern,Fern,Moist at all times,Moderate indirect,"frilly, sensitive to dryness, air-purifying","Reintroduce monthly fertilizer; Increase humidity","Mist daily; Avoid heat stress","Slow down watering slightly; Trim dead fronds","Keep away from heaters; Mist daily; Maintain stable humidity","Needs high humidity and peat-based soil. Avoid letting the soil dry out. Yellow fronds can mean dryness or salt buildup. Flush occasionally with clean water."
Calathea Amagris,Tropical foliage,Moist but not soggy,Moderate indirect,"patterned leaves, pet safe, humidity-loving","Start monthly fertilizing; Use distilled water","Maintain high humidity; Avoid bright light","Mist occasionally; Watch for dry tips","Keep warm; Reduce watering; Provide indirect light","Use a peat and coco coir mix with pH near 6.5. Water with dechlorinated or distilled water. Avoid soggy soil and harsh chemicals."
Calathea Exotica,Tropical foliage,Moist but not soggy,Moderate indirect,"tall leaves, sensitive to water quality","Start gentle feeding; Keep moist; Mist daily","Avoid cold water; Keep away from direct sun","Reduce watering slightly; Wipe leaves","Keep warm; Maintain humidity","Similar to Amagris. Needs soft, well-draining soil. Avoid dry air and unfiltered tap water. Curling leaves mean it's too dry or water quality is poor."
Snake Plant,Succulent,Let soil dry halfway,Moderate indirect,"hardy, drought-tolerant, low-light adaptable","Resume light watering; Rotate pot","Water deeply and let dry; Avoid direct heat","Water less often; Wipe dust from leaves","Water sparingly; Keep above 50F","Tolerates low light and neglect. Use coco coir-based soil. Root rot is common if overwatered. Let soil fully dry before watering again."
Pothos,Vine,Moderate,Low to Medium,"air-purifying, beginner-friendly, low-light tolerant","Start monthly feeding; Wipe leaves; Check for root crowding","Water more in heat; Avoid direct sunlight; Trim vines","Reduce watering slightly; Watch for yellowing leaves","Keep moist but not wet; Avoid cold drafts","Tolerant of many conditions. Grows quickly and can be propagated in water. Yellowing leaves often mean overwatering."
ZZ Plant,Shrub,Low to Moderate,Low to Bright indirect,"hardy, glossy leaves, air-purifying","Start monthly feeding; Clean leaves; Rotate pot","Let soil dry between waterings; Tolerates dry air","Reduce watering slightly","Water once a month; Keep in a warm spot","Very low maintenance. Shiny leaves and thick rhizomes store water. Avoid overwatering. Perfect for offices or low-light spaces."
Peace Lily,Flowering,High moisture,Medium to Low,"shade-tolerant, blooming, air-purifying","Use balanced fertilizer; Keep soil moist","Mist regularly; Avoid direct sunlight","Reduce watering; Expect fewer blooms","Keep warm and lightly watered","Soil should stay moist but not soggy. Dramatic wilting signals thirst. Toxic to pets. Clean leaves and use filtered water if tips brown."
Fiddle Leaf Fig,Tree,High,Bright indirect,"sculptural, humidity-loving, temperamental","Feed every 2 weeks; Rotate for even sun","Mist daily; Can move outdoors if warm","Reduce feeding; Watch for pests or leaf drop","Keep warm and bright; Reduce watering","Use peat and perlite mix with good drainage. Avoid moving often. Clean leaves. Sensitive to cold and inconsistent watering."
